LSL_Timestamp,1
101808.89845785622,Trial Started
101808.90153035622,|p300,s,9,8,0|
101809.09794665647,|p300,s,9,8,4|
101809.29818165675,|p300,s,9,8,7|
101809.48265735697,|p300,s,9,8,2|
101809.66697635723,|p300,s,9,8,1|
101809.85164065745,|p300,s,9,8,5|
101810.0368005577,|p300,s,9,8,6|
101810.22064245795,|p300,s,9,8,3|
101810.42080595822,|p300,s,9,8,8|
101810.60476685845,|p300,s,9,8,4|
101810.78896295869,|p300,s,9,8,6|
101810.97322965892,|p300,s,9,8,5|
101811.17341175918,|p300,s,9,8,3|
101811.37362175944,|p300,s,9,8,2|
101811.57414765972,|p300,s,9,8,7|
101811.75888735996,|p300,s,9,8,8|
101811.94254566019,|p300,s,9,8,0|
101812.12625786044,|p300,s,9,8,1|
101812.31029636067,|p300,s,9,8,0|
101812.51074446093,|p300,s,9,8,4|
101812.69491166118,|p300,s,9,8,6|
101812.87946646143,|p300,s,9,8,7|
101813.07928776169,|p300,s,9,8,5|
101813.27930956196,|p300,s,9,8,3|
101813.46309526218,|p300,s,9,8,2|
101813.64656736243,|p300,s,9,8,8|
101813.8480054627,|p300,s,9,8,1|
101814.03175336293,|p300,s,9,8,4|
101814.23296516319,|p300,s,9,8,5|
101814.43368436345,|p300,s,9,8,7|
101814.6179159637,|p300,s,9,8,0|
101814.80179046393,|p300,s,9,8,1|
101814.98546696418,|p300,s,9,8,3|
101815.18558946444,|p300,s,9,8,8|
101815.38580866471,|p300,s,9,8,6|
101815.58667276497,|p300,s,9,8,2|
101815.78686026523,|p300,s,9,8,5|
101815.98720756549,|p300,s,9,8,1|
101816.18724046575,|p300,s,9,8,0|
101816.38816316602,|p300,s,9,8,2|
101816.57244656626,|p300,s,9,8,7|
101816.75784316649,|p300,s,9,8,3|
101816.94170636674,|p300,s,9,8,8|
101817.12540626698,|p300,s,9,8,6|
101817.32591116724,|p300,s,9,8,4|
101817.5262578675,|p300,s,9,8,2|
101817.72611306775,|p300,s,9,8,0|
101817.910072668,|p300,s,9,8,1|
101818.09542006823,|p300,s,9,8,6|
101818.27998256849,|p300,s,9,8,7|
101818.48039146875,|p300,s,9,8,4|
101818.66436656899,|p300,s,9,8,3|
101818.84867336923,|p300,s,9,8,5|
101819.04873716949,|p300,s,9,8,8|
101819.23345516974,|p300,s,9,8,0|
101819.41785886997,|p300,s,9,8,3|
101819.61876947024,|p300,s,9,8,1|
101819.80309467048,|p300,s,9,8,4|
101820.00326077074,|p300,s,9,8,7|
101820.18724357098,|p300,s,9,8,6|
101820.37187887121,|p300,s,9,8,2|
101820.55581257147,|p300,s,9,8,5|
101820.7400226717,|p300,s,9,8,8|
101820.94015267196,|p300,s,9,8,4|
101821.14053267223,|p300,s,9,8,0|
101821.32455257248,|p300,s,9,8,2|
101821.50834277271,|p300,s,9,8,7|
101821.69253127296,|p300,s,9,8,8|
101821.87699037319,|p300,s,9,8,1|
101822.06105417343,|p300,s,9,8,5|
101822.2612531737,|p300,s,9,8,6|
101822.44613657394,|p300,s,9,8,3|
101822.6471285742,|p300,s,9,8,2|
101822.83168717443,|p300,s,9,8,3|
101823.01670327468,|p300,s,9,8,0|
101823.20120327492,|p300,s,9,8,7|
101823.40142807517,|p300,s,9,8,4|
101823.58516627543,|p300,s,9,8,6|
101823.77004117567,|p300,s,9,8,5|
101823.9539700759,|p300,s,9,8,8|
101824.13829207615,|p300,s,9,8,1|
101824.33843547641,|p300,s,9,8,8|
101824.52251787666,|p300,s,9,8,4|
101824.7075379769,|p300,s,9,8,6|
101824.90770997715,|p300,s,9,8,5|
101825.09148527739,|p300,s,9,8,0|
101825.29142897765,|p300,s,9,8,3|
101825.4758711779,|p300,s,9,8,7|
101825.67594967816,|p300,s,9,8,1|
101825.85993777841,|p300,s,9,8,2|
101826.04415867865,|p300,s,9,8,4|
101826.2285724789,|p300,s,9,8,7|
101826.42856827915,|p300,s,9,8,5|
101826.62863107941,|p300,s,9,8,2|
101826.81304767965,|p300,s,9,8,0|
101827.01312437991,|p300,s,9,8,1|
101827.19798078015,|p300,s,9,8,6|
