LSL_Timestamp,1
1043432.7479490617,marker received : Trial Started
1043691.0952176326,|marker received : p300,s,9,8,7|
1043691.0955811326,|marker received : p300,s,9,8,4|
1043691.0959183326,|marker received : p300,s,9,8,0|
1043691.0962622326,|marker received : p300,s,9,8,1|
1043691.0966989326,|marker received : p300,s,9,8,8|
1043691.0972778326,marker received : Trial Ends
1043916.3930172944,marker received : Trial Started
1043916.3954181944,|marker received : p300,s,9,4,1|
1043916.3962339944,|marker received : p300,s,9,4,4|
1043916.3967058944,|marker received : p300,s,9,4,0|
1043916.3972490944,|marker received : p300,s,9,4,7|
1043916.3976642943,|marker received : p300,s,9,4,8|
1043916.3981576944,|marker received : p300,s,9,4,6|
1043916.3985444944,|marker received : p300,s,9,4,3|
1043916.3988816944,|marker received : p300,s,9,4,2|
1043916.4001673944,|marker received : p300,s,9,4,5|
1043916.4008379944,|marker received : p300,s,9,4,2|
1043916.4013888944,|marker received : p300,s,9,4,1|
1043916.4027223944,|marker received : p300,s,9,4,0|
1043916.4035894944,|marker received : p300,s,9,4,6|
1043916.4046308944,|marker received : p300,s,9,4,5|
1043916.4059415944,|marker received : p300,s,9,4,4|
1043916.4066785944,|marker received : p300,s,9,4,3|
1043916.4071952944,|marker received : p300,s,9,4,7|
1043916.4077315944,|marker received : p300,s,9,4,8|
1043916.4081365945,|marker received : p300,s,9,4,0|
1043916.4088882944,|marker received : p300,s,9,4,7|
1043916.4094417944,|marker received : p300,s,9,4,6|
1043916.4098195944,|marker received : p300,s,9,4,3|
1043916.4101237945,|marker received : p300,s,9,4,1|
1043916.4104131944,|marker received : p300,s,9,4,5|
1043916.4106835944,|marker received : p300,s,9,4,2|
1043916.4109681944,|marker received : p300,s,9,4,4|
1043916.4119616944,|marker received : p300,s,9,4,8|
1043916.4154401944,|marker received : p300,s,9,4,0|
1043916.4177879944,|marker received : p300,s,9,4,6|
1043916.4193099944,|marker received : p300,s,9,4,4|
1043916.4202349944,|marker received : p300,s,9,4,2|
1043916.4206166944,|marker received : p300,s,9,4,7|
1043916.4210255943,|marker received : p300,s,9,4,1|
1043916.4214647944,|marker received : p300,s,9,4,8|
1043916.4220117944,|marker received : p300,s,9,4,5|
1043916.4223756944,|marker received : p300,s,9,4,3|
1043916.4229830944,|marker received : p300,s,9,4,0|
1043916.4232792944,|marker received : p300,s,9,4,1|
1043916.4235729944,|marker received : p300,s,9,4,8|
1043916.4238787944,|marker received : p300,s,9,4,2|
1043916.4242138944,|marker received : p300,s,9,4,3|
1043916.4245208944,|marker received : p300,s,9,4,7|
1043916.4248264944,|marker received : p300,s,9,4,5|
1043916.4251179944,|marker received : p300,s,9,4,4|
1043916.4255429944,|marker received : p300,s,9,4,6|
1043916.4259800944,|marker received : p300,s,9,4,8|
1043916.4262511944,|marker received : p300,s,9,4,5|
1043916.4265498944,|marker received : p300,s,9,4,3|
1043916.4269642944,|marker received : p300,s,9,4,4|
1043916.4276781944,|marker received : p300,s,9,4,1|
1043916.4280626944,|marker received : p300,s,9,4,7|
1043916.4283841944,|marker received : p300,s,9,4,0|
1043916.4287703944,|marker received : p300,s,9,4,2|
1043916.4290976943,|marker received : p300,s,9,4,6|
1043916.4298865944,|marker received : p300,s,9,4,3|
1043916.4304456944,|marker received : p300,s,9,4,7|
1043916.4308387944,|marker received : p300,s,9,4,1|
1043916.4312312944,|marker received : p300,s,9,4,5|
1043916.4315357944,|marker received : p300,s,9,4,2|
1043916.4318808943,|marker received : p300,s,9,4,4|
1043916.4322503944,|marker received : p300,s,9,4,0|
1043916.4326036944,|marker received : p300,s,9,4,6|
1043916.4331822944,|marker received : p300,s,9,4,8|
1043916.4335600944,|marker received : p300,s,9,4,2|
1043916.4339051944,|marker received : p300,s,9,4,7|
1043916.4341858944,|marker received : p300,s,9,4,4|
1043916.4345273944,|marker received : p300,s,9,4,0|
1043916.4348437944,|marker received : p300,s,9,4,8|
1043916.4351707944,|marker received : p300,s,9,4,3|
1043916.4355461944,|marker received : p300,s,9,4,1|
1043916.4359007945,|marker received : p300,s,9,4,6|
1043916.4361865944,|marker received : p300,s,9,4,5|
1043916.4365005944,|marker received : p300,s,9,4,3|
1043916.4367770944,|marker received : p300,s,9,4,6|
1043916.4370835944,|marker received : p300,s,9,4,5|
1043916.4375509945,|marker received : p300,s,9,4,0|
1043916.4378923944,|marker received : p300,s,9,4,4|
1043916.4382483944,|marker received : p300,s,9,4,1|
1043916.4385320944,|marker received : p300,s,9,4,7|
1043916.4388371943,|marker received : p300,s,9,4,2|
1043916.4391583944,|marker received : p300,s,9,4,8|
1043916.4394596944,|marker received : p300,s,9,4,0|
1043916.4397637944,|marker received : p300,s,9,4,2|
